date,value
1996-02-22,1.6257661364607383
1996-02-23,1.6319364444253066
1996-02-26,1.6312931315724073
1996-02-27,1.6355413102429883
1996-02-28,1.6359965666328984
1996-02-29,1.639575180156029
1996-03-01,1.6381339693424248
1996-03-04,1.6403942841060764
1996-03-05,1.6437299477445566
1996-03-06,1.6427738025180272
1996-03-07,1.6404409548177634
1996-03-08,1.6550763407434148
1996-03-11,1.653336132504528
1996-03-12,1.652597096024982
1996-03-13,1.6540387307983784
1996-03-14,1.6552497486337543
1996-03-15,1.6557354360196326
1996-03-18,1.6630318423535708
1996-03-19,1.663713350967283
1996-03-20,1.6638282018682733
1996-03-21,1.6610943362807198
1996-03-22,1.662240162642849
1996-03-25,1.6624795147905065
1996-03-26,1.6627926170755614
1996-03-27,1.6668291601902878
1996-03-28,1.668462977806763
1996-03-29,1.6618354271360358
1996-04-01,1.6705164590274544
1996-04-02,1.6724309560651214
1996-04-03,1.672189147992501
1996-04-04,1.6713651396918618
1996-04-08,1.6695059457898371
1996-04-09,1.677591343656578
1996-04-10,1.6922582893817573
1996-04-11,1.693084031955333
1996-04-12,1.6888256696275663
1996-04-15,1.6835377686401063
1996-04-16,1.6852531824369692
1996-04-17,1.6888256696275663
1996-04-18,1.692054963007649
1996-04-19,1.6912732482856752
1996-04-22,1.6900385094991084
1996-04-23,1.6914985772673414
1996-04-24,1.6931507837896482
1996-04-25,1.6965445608084415
1996-04-26,1.697758553798708
1996-04-29,1.6968019299087225
1996-04-30,1.7003992231893144
1996-05-01,1.6978219748077092
1996-05-02,1.6884703898330846
1996-05-03,1.688170014312626
1996-05-06,1.6876444215519233
1996-05-07,1.689504808206514
1996-05-08,1.6881057181914427
1996-05-09,1.68867706601076
1996-05-10,1.6951038288631204
1996-05-13,1.7046117548876922
1996-05-14,1.7152616247066823
1996-05-15,1.715676097030765
1996-05-16,1.7197065890646943
1996-05-17,1.7219573840551494
1996-05-20,1.7245619340306702
1996-05-21,1.7230654837299528
1996-05-22,1.725601763591721
1996-05-23,1.7225313263174755
