date,value
1995-02-22,0.4975008150343568
1995-02-23,0.4954204490327652
1995-02-24,0.4954987136824896
1995-02-27,0.4962060338146917
1995-02-28,0.4957262933348587
1995-03-01,0.4956098969693357
1995-03-02,0.4966475871069927
1995-03-03,0.4968759592897741
1995-03-06,0.4962825526068446
1995-03-07,0.4906790438768963
1995-03-08,0.4912135176667559
1995-03-09,0.4922202832809335
1995-03-10,0.4912386264445736
1995-03-13,0.4910608494798487
1995-03-14,0.4906666637870683
1995-03-15,0.4912014066651279
1995-03-16,0.4911248707421012
1995-03-17,0.4911248707421012
1995-03-20,0.4917984526932843
1995-03-21,0.4921008862044773
1995-03-22,0.4907804489528944
1995-03-23,0.4913531381763159
1995-03-24,0.4899030182394208
1995-03-27,0.4899410357562782
1995-03-28,0.4897890371775291
1995-03-29,0.4891529784392742
1995-03-30,0.4902549489698484
1995-03-31,0.4904484717917706
1995-04-03,0.4913929572757992
1995-04-04,0.4919413166266587
1995-04-05,0.4927676994889595
1995-04-06,0.4945465311261629
1995-04-07,0.4934919705840304
1995-04-10,0.494215296314662
1995-04-11,0.4950152261557316
1995-04-12,0.4946319499310188
1995-04-13,0.4960106476698615
1995-04-17,0.4952736920169597
1995-04-18,0.4956420561411734
1995-04-19,0.494558950925262
1995-04-20,0.4939669587405842
1995-04-21,0.4932139359777438
1995-04-24,0.4927994426322869
1995-04-25,0.4928144941399662
1995-04-26,0.4931452169681509
1995-04-27,0.4944948873632189
1995-04-28,0.4932835324613678
1995-05-01,0.4931532461200242
1995-05-02,0.4932305013923417
1995-05-03,0.4924455170404845
1995-05-04,0.4924455170404845
1995-05-05,0.4932066147556497
1995-05-08,0.4927610835156592
1995-05-09,0.4932066147556497
1995-05-10,0.4925694682338406
1995-05-11,0.4917816392527719
1995-05-12,0.4927994426322869
1995-05-15,0.4925343370204463
1995-05-16,0.4930145316204806
1995-05-17,0.4939340278988594
1995-05-18,0.4928783854532175
1995-05-19,0.4929922403023641
1995-05-22,0.4934868385440603
1995-05-23,0.4934868385440603
1995-05-24,0.4938906198374433
1995-05-25,0.4940270777589249
1995-05-26,0.4938362239069104
1995-05-30,0.4939507005998744
1995-05-31,0.4944016890860312
1995-06-01,0.4937980887307421
1995-06-02,0.4937218539246698
1995-06-05,0.4936075904914495
1995-06-06,0.4936075904914495
1995-06-07,0.4933360793039171
1995-06-08,0.4929536420226596
1995-06-09,0.4918103480398474
1995-06-12,0.4923111486986594
1995-06-13,0.4918239614896882
1995-06-14,0.491844059139882
1995-06-15,0.4917679505348029
1995-06-16,0.4917191010110895
1995-06-19,0.4905310312983787
1995-06-20,0.4910348873604058
1995-06-21,0.4907567760152441
1995-06-22,0.4904400486456431
1995-06-23,0.490553810442068
1995-06-26,0.4905917547314103
1995-06-27,0.4906039914173078
1995-06-28,0.4913267595834049
1995-06-29,0.4919722505600763
1995-06-30,0.4926758122595812
1995-07-03,0.4923833645158368
1995-07-05,0.4928447116839229
1995-07-06,0.4910978966263088
1995-07-07,0.4907691993941216
1995-07-10,0.4913149556305214
1995-07-11,0.4915577227116579
1995-07-12,0.4923255191039178
1995-07-13,0.4922971366390325
1995-07-14,0.4924985381524044
1995-07-17,0.4921773868141535
1995-07-18,0.4916809881500542
1995-07-19,0.4920909113981327
1995-07-20,0.4924747897742038
1995-07-21,0.4922587039134865
1995-07-24,0.4920283612965815
1995-07-25,0.491303095529527
1995-07-26,0.4914179461579417
1995-07-27,0.4927078243609799
1995-07-28,0.4916863528321565
1995-07-31,0.4917631491578034
1995-08-01,0.491965691906939
1995-08-02,0.4928460048684857
1995-08-03,0.493022301111134
1995-08-04,0.4922826997403337
1995-08-07,0.4934216720665177
1995-08-08,0.4943237623037095
1995-08-09,0.4950657571483138
1995-08-10,0.4953576809086555
1995-08-11,0.4948005440120349
1995-08-14,0.4954526928126936
1995-08-15,0.4954911622056392
1995-08-16,0.4950303200811165
1995-08-17,0.4955332574971292
1995-08-18,0.4959945303614392
1995-08-21,0.495784328320635
1995-08-22,0.494845638339542
1995-08-23,0.4924005674709724
1995-08-24,0.4925052221965478
1995-08-25,0.4932202682324847
1995-08-28,0.4936075904914495
1995-08-29,0.4936394251818796
1995-08-30,0.4948494343030984
1995-08-31,0.4946014253480244
1995-09-01,0.494218228780463
1995-09-05,0.4943848851699334
1995-09-06,0.4947105236538101
1995-09-07,0.4953238874684208
1995-09-08,0.4949981112086531
1995-09-11,0.4949743927778968
1995-09-12,0.4950126679626567
1995-09-13,0.4952629654840934
1995-09-14,0.4957092324560135
1995-09-15,0.4959187274599913
1995-09-18,0.4967245596673724
1995-09-19,0.4970899106347811
1995-09-20,0.4968388508115414
1995-09-21,0.4960712766627146
1995-09-22,0.4958775163691117
1995-09-25,0.4947970165183776
