date,value
1996-02-22,0.5070039889788576
1996-02-23,0.5081123084896527
1996-02-26,0.5078978967889594
1996-02-27,0.5088688345679689
1996-02-28,0.509408732160732
1996-02-29,0.5116618358783738
1996-03-01,0.5110370126145823
1996-03-04,0.5127030823717319
1996-03-05,0.5138216833152627
1996-03-06,0.5139748909413557
1996-03-07,0.5141281231555822
1996-03-08,0.5163798289584424
1996-03-11,0.5162350708634285
1996-03-12,0.5160558385593113
1996-03-13,0.5173390833417787
1996-03-14,0.5167599492708934
1996-03-15,0.5164634362209412
1996-03-18,0.5153981325946524
1996-03-19,0.5157361423443021
1996-03-20,0.5157361423443021
1996-03-21,0.5158117062532206
1996-03-22,0.5170204515011163
1996-03-25,0.5172423811313888
1996-03-26,0.516230411416454
1996-03-27,0.5156314894147568
1996-03-28,0.5164228239343558
1996-03-29,0.516938278299671
1996-04-01,0.5177380527788279
1996-04-02,0.5177342252825422
1996-04-03,0.5180357452533182
1996-04-04,0.5182226281589158
1996-04-08,0.5185820917031657
1996-04-09,0.5201832956053059
1996-04-10,0.5224904208037181
1996-04-11,0.5238367687545789
1996-04-12,0.5228048950533075
1996-04-15,0.5222477953581258
1996-04-16,0.5225075665241715
1996-04-17,0.5232028372661578
1996-04-18,0.523771028405103
1996-04-19,0.5240075850644553
1996-04-22,0.5237330738964676
1996-04-23,0.5234103805922187
1996-04-24,0.5219340168361789
1996-04-25,0.5204802728011222
1996-04-26,0.5215407987459338
1996-04-29,0.522717260319504
1996-04-30,0.5240933140036558
1996-05-01,0.5254812333467385
1996-05-02,0.525445831076371
1996-05-03,0.5260154851083412
1996-05-06,0.5258531344481506
1996-05-07,0.5262586967928242
1996-05-08,0.5259400000916966
1996-05-09,0.5241639375178008
1996-05-10,0.5242944075612279
1996-05-13,0.5249519987600443
1996-05-14,0.5265647190714234
1996-05-15,0.5273523690545918
1996-05-16,0.527014609415438
1996-05-17,0.5265257056547421
1996-05-20,0.5271398000281796
1996-05-21,0.52772834694747
1996-05-22,0.5268155513281869
1996-05-23,0.5273148286260347
1996-05-24,0.5272274775319503
1996-05-28,0.5268399691585823
1996-05-29,0.5269409336091379
1996-05-30,0.5269781694615044
1996-05-31,0.5272140572733773
1996-06-03,0.5264796993883444
1996-06-04,0.5268399691585823
1996-06-05,0.5270897369322817
1996-06-06,0.5254593903774344
1996-06-07,0.5254659010202252
1996-06-10,0.5254503754570831
1996-06-11,0.5254018125019703
1996-06-12,0.5257814406913629
1996-06-13,0.5252193590983547
1996-06-14,0.5250325190321569
1996-06-17,0.5258225070615211
1996-06-18,0.5249636808655732
1996-06-19,0.5249636808655732
1996-06-20,0.5249205394735778
1996-06-21,0.522795663509523
1996-06-24,0.5245036850797146
1996-06-25,0.524829384673102
1996-06-26,0.5239185999659622
1996-06-27,0.5239569057674309
1996-06-28,0.5244418905682872
1996-07-01,0.5245339903383617
1996-07-02,0.5249085922988423
1996-07-03,0.525031800917382
1996-07-05,0.5235557253920937
1996-07-08,0.5232255804107547
1996-07-09,0.5253459776974653
1996-07-10,0.5242583300955739
1996-07-11,0.5239444446962274
1996-07-12,0.5233815496782055
1996-07-15,0.5268710664256117
1996-07-16,0.5283472504524218
1996-07-17,0.5284929852238023
1996-07-18,0.5283404427617122
1996-07-19,0.5286237464118696
1996-07-22,0.527664291003507
1996-07-23,0.5279712898633075
1996-07-24,0.5292037710368674
1996-07-25,0.5292037710368674
1996-07-26,0.5299664751711228
1996-07-29,0.5289225066729963
1996-07-30,0.5314361157420419
1996-07-31,0.5324737218626829
1996-08-01,0.5337956276369065
1996-08-02,0.5357432589000335
1996-08-05,0.5360151297780196
